Continent,Countries,Date,Cum_cases,Cases,Cum_deaths,Deaths,Total_vac,Single_Vac,Double_Vac,Booster_Vac,Population
Asia,Afghanistan,01/01/2021,1309.569,4.564,54.889,0.299,0,0,0,0,40099462
Asia,Afghanistan,02/01/2021,1311.389,1.82,55.138,0.249,0,0,0,0,40099462
Asia,Afghanistan,03/01/2021,1314.457,3.067,55.387,0.249,0,0,0,0,40099462
Asia,Afghanistan,04/01/2021,1319.444,4.988,55.612,0.224,0,0,0,0,40099462
Asia,Afghanistan,05/01/2021,1321.988,2.544,55.786,0.175,0,0,0,0,40099462
Asia,Afghanistan,06/01/2021,1324.332,2.344,55.961,0.175,0,0,0,0,40099462
Asia,Afghanistan,07/01/2021,1326.876,2.544,56.185,0.224,0,0,0,0,40099462
Asia,Afghanistan,08/01/2021,1329.993,3.117,56.285,0.1,0,0,0,0,40099462
Asia,Afghanistan,09/01/2021,1331.689,1.696,56.46,0.175,0,0,0,0,40099462
Asia,Afghanistan,10/01/2021,1333.908,2.219,56.784,0.324,0,0,0,0,40099462
Asia,Afghanistan,11/01/2021,1335.13,1.222,57.058,0.274,0,0,0,0,40099462
Asia,Afghanistan,12/01/2021,1336.277,1.147,57.382,0.324,0,0,0,0,40099462
Asia,Afghanistan,13/01/2021,1338.921,2.643,57.557,0.175,0,0,0,0,40099462
Asia,Afghanistan,14/01/2021,1341.04,2.12,57.707,0.15,0,0,0,0,40099462
Asia,Afghanistan,15/01/2021,1342.437,1.397,57.956,0.249,0,0,0,0,40099462
Asia,Afghanistan,16/01/2021,1345.105,2.668,58.255,0.299,0,0,0,0,40099462
Asia,Afghanistan,17/01/2021,1346.252,1.147,58.33,0.075,0,0,0,0,40099462
Asia,Afghanistan,18/01/2021,1348.198,1.945,58.43,0.1,0,0,0,0,40099462
Asia,Afghanistan,19/01/2021,1350.168,1.97,58.505,0.075,0,0,0,0,40099462
Asia,Afghanistan,20/01/2021,1353.584,3.417,58.704,0.2,0,0,0,0,40099462
Asia,Afghanistan,21/01/2021,1356.701,3.117,58.928,0.224,0,0,0,0,40099462
Asia,Afghanistan,22/01/2021,1358.697,1.995,59.103,0.175,0,0,0,0,40099462
Asia,Afghanistan,23/01/2021,1360.592,1.895,59.178,0.075,0,0,0,0,40099462
Asia,Afghanistan,24/01/2021,1361.49,0.898,59.303,0.125,0,0,0,0,40099462
Asia,Afghanistan,25/01/2021,1363.41,1.92,59.477,0.175,0,0,0,0,40099462
Asia,Afghanistan,26/01/2021,1365.355,1.945,59.577,0.1,0,0,0,0,40099462
Asia,Afghanistan,27/01/2021,1367.949,2.594,59.577,0,0,0,0,0,40099462
Asia,Afghanistan,28/01/2021,1368.871,0.923,59.776,0.2,0,0,0,0,40099462
Asia,Afghanistan,29/01/2021,1370.068,1.197,59.826,0.05,0,0,0,0,40099462
Asia,Afghanistan,30/01/2021,1371.789,1.721,59.851,0.025,0,0,0,0,40099462
Asia,Afghanistan,31/01/2021,1372.163,0.374,59.851,0,0,0,0,0,40099462
Asia,Afghanistan,01/02/2021,1373.061,0.898,59.951,0.1,0,0,0,0,40099462
Asia,Afghanistan,02/02/2021,1374.607,1.546,59.976,0.025,0,0,0,0,40099462
Asia,Afghanistan,03/02/2021,1375.929,1.322,60.001,0.025,0,0,0,0,40099462
Asia,Afghanistan,04/02/2021,1377.35,1.421,60.026,0.025,0,0,0,0,40099462
Asia,Afghanistan,05/02/2021,1378.198,0.848,60.026,0,0,0,0,0,40099462
Asia,Afghanistan,06/02/2021,1379.819,1.621,60.051,0.025,0,0,0,0,40099462
Asia,Afghanistan,07/02/2021,1379.944,0.125,60.101,0.05,0,0,0,0,40099462
Asia,Afghanistan,08/02/2021,1380.542,0.599,60.175,0.075,0,0,0,0,40099462
Asia,Afghanistan,09/02/2021,1381.166,0.623,60.2,0.025,0,0,0,0,40099462
Asia,Afghanistan,10/02/2021,1381.615,0.449,60.3,0.1,0,0,0,0,40099462
Asia,Afghanistan,11/02/2021,1382.063,0.449,60.325,0.025,0,0,0,0,40099462
Asia,Afghanistan,12/02/2021,1382.687,0.623,60.45,0.125,0,0,0,0,40099462
Asia,Afghanistan,13/02/2021,1383.385,0.698,60.525,0.075,0,0,0,0,40099462
Asia,Afghanistan,14/02/2021,1383.859,0.474,60.525,0,0,0,0,0,40099462
Asia,Afghanistan,15/02/2021,1384.408,0.549,60.525,0,0,0,0,0,40099462
Asia,Afghanistan,16/02/2021,1384.507,0.1,60.549,0.025,0,0,0,0,40099462
Asia,Afghanistan,17/02/2021,1385.056,0.549,60.549,0,0,0,0,0,40099462
Asia,Afghanistan,18/02/2021,1385.48,0.424,60.599,0.05,0,0,0,0,40099462
Asia,Afghanistan,19/02/2021,1385.929,0.449,60.599,0,0,0,0,0,40099462
Asia,Afghanistan,20/02/2021,1386.054,0.125,60.599,0,0,0,0,0,40099462
Asia,Afghanistan,21/02/2021,1386.652,0.599,60.649,0.05,0,0,0,0,40099462
Asia,Afghanistan,22/02/2021,1386.976,0.324,60.674,0.025,0,0,0,0,40099462
Asia,Afghanistan,23/02/2021,1387.699,0.723,60.724,0.05,0,0,0,0,40099462
Asia,Afghanistan,24/02/2021,1388.148,0.449,60.749,0.025,0,0,0,0,40099462
Asia,Afghanistan,25/02/2021,1388.547,0.399,60.799,0.05,0,0,0,0,40099462
Asia,Afghanistan,26/02/2021,1388.946,0.399,60.899,0.1,0,0,0,0,40099462
Asia,Afghanistan,27/02/2021,1389.221,0.274,60.924,0.025,0,0,0,0,40099462
Asia,Afghanistan,28/02/2021,1389.395,0.175,60.924,0,0.02,0.02,0,0,40099462
Asia,Afghanistan,01/03/2021,1389.869,0.474,60.948,0.025,0,0,0,0,40099462
Asia,Afghanistan,02/03/2021,1390.517,0.648,60.998,0.05,0,0,0,0,40099462
Asia,Afghanistan,03/03/2021,1390.792,0.274,60.998,0,0,0,0,0,40099462
Asia,Afghanistan,04/03/2021,1390.916,0.125,60.998,0,0,0,0,0,40099462
Asia,Afghanistan,05/03/2021,1392.213,1.297,61.073,0.075,0,0,0,0,40099462
Asia,Afghanistan,06/03/2021,1392.537,0.324,61.073,0,0,0,0,0,40099462
Asia,Afghanistan,07/03/2021,1392.712,0.175,61.073,0,0,0,0,0,40099462
Asia,Afghanistan,08/03/2021,1393.435,0.723,61.123,0.05,0,0,0,0,40099462
Asia,Afghanistan,09/03/2021,1393.435,0,61.123,0,0,0,0,0,40099462
Asia,Afghanistan,10/03/2021,1393.884,0.449,61.123,0,0,0,0,0,40099462
Asia,Afghanistan,11/03/2021,1394.458,0.574,61.123,0,0,0,0,0,40099462
Asia,Afghanistan,12/03/2021,1395.505,1.047,61.198,0.075,0,0,0,0,40099462
Asia,Afghanistan,13/03/2021,1395.505,0,61.198,0,0,0,0,0,40099462
Asia,Afghanistan,14/03/2021,1396.153,0.648,61.273,0.075,0,0,0,0,40099462
Asia,Afghanistan,15/03/2021,1396.153,0,61.323,0.05,0,0,0,0,40099462
Asia,Afghanistan,16/03/2021,1396.403,0.249,61.347,0.025,0.13,0.13,0,0,40099462
Asia,Afghanistan,17/03/2021,1396.926,0.524,61.347,0,0,0,0,0,40099462
